Est Number,Reporting Area,Premise Name,Premise Address 1,Inspection Type,Score,Inspection Date,Violation List,Followup Required
90209,605,BRYAN STATION BASEBALL BOOSTER CONCESSION,201 EASTIN DR,1,100,22-Apr-14,,NO
68559,605,BRYAN STATION HIGH - SOFTBALL,1866 EDGEWORTH DR,1,98,22-Apr-14,16,NO
30816,605,BRYAN STATION HIGH SCHOOL,1866 EDGEWORTH DR,1,98,13-Nov-13,6,NO
30816,605,BRYAN STATION HIGH SCHOOL,1866 EDGEWORTH DR,1,99,24-Apr-14,19,NO
30815,605,BRYAN STATION MIDDLE SCHOOL,1865 WICKLAND DR,1,100,30-Oct-13,,NO
30815,605,BRYAN STATION MIDDLE SCHOOL,1865 WICKLAND DR,1,99,28-Apr-14,19,NO
30815,605,BRYAN STATION MIDDLE SCHOOL,1865 WICKLAND DR,1,95,28-Apr-14,  13  16,NO
65436,605,BUDWEISER STABLES,207 LEGENDS LANE,1,95,7-Aug-13,   8   9  30,NO
58029,605,BUFFALO WILD WINGS #15,1080 S BROADWAY,1,99,30-Oct-13,32,NO
58029,605,BUFFALO WILD WINGS #15,1080 S BROADWAY,1,100,1-May-14,,NO
64910,605,BUFFALO WILD WINGS GRILL & BAR #49,3094 OLD TODDS RD.,1,97,27-Jun-13,  15  26,NO
64910,605,BUFFALO WILD WINGS GRILL & BAR #49,3094 OLD TODDS RD.,1,99,2-Jan-14,20,NO
31454,605,BURGER & SHAKE,219 E NEW CIRCLE RD,1,100,16-Jul-13,,NO
31454,605,BURGER & SHAKE,219 E NEW CIRCLE RD,1,99,18-Dec-13,15,NO
30821,605,BURGER KING #1007,2217 NICHOLASVILLE RD,1,98,14-Oct-13,  15  20,NO
30821,605,BURGER KING #1007,2217 NICHOLASVILLE RD,1,99,1-Apr-14,15,NO
84794,605,BURGER KING #17304,2548 RICHMOND ROAD,1,99,27-Sep-13,23,NO
84794,605,BURGER KING #17304,2548 RICHMOND ROAD,1,98,25-Mar-14,  19  23,NO
30824,605,BURGER KING #1923,451 NEW CIRCLE RD,1,99,2-Jul-13,15,NO
30824,605,BURGER KING #1923,451 NEW CIRCLE RD,1,88,21-Nov-13,   8  11  15  18  20  29,NO
30824,605,BURGER KING #1923,451 NEW CIRCLE RD,2,93,21-Nov-13,   8  15  19  20  29,NO
50119,605,BURGER KING #8249,4200 SARON DR,1,95,8-Nov-13,11,NO
50119,605,BURGER KING #8249,4200 SARON DR,2,100,8-Nov-13,,NO
50119,605,BURGER KING #8249,4200 SARON DR,1,98,22-Apr-14,  19  31,NO
