business_id,name,address,city,state
60151,CHILI'S SOUTHWEST GRILL & BAR,,Lexington,KY
92043,"CHILL SPOT LOUNGE, THE",,Lexington,KY
61879,CHINA BUFFET,,Lexington,KY
31022,CHINA HUT,,Lexington,KY
52351,CHINA KING,,Lexington,KY
54377,CHINA KING,,Lexington,KY
70478,CHINA STAR,,Lexington,KY
35287,CHINOE PUB,,Lexington,KY
95866,CHINO'S DADA,,Lexington,KY
70890,CHIPOTLE MEXICAN GRILL #572,,Lexington,KY
70400,CHIPOTLE MEXICAN GRILL OF CO,,Lexington,KY
71759,CHIPOTLE MEXICAN GRILL OF CO,,Lexington,KY
50717,CHOP HOUSE,,Lexington,KY
74490,CHOPSTIX CHINESE RESTAURANT,,Lexington,KY
89212,CHRISMAN MILL WINERY,,Lexington,KY
53562,CHRIST CHURCH CATHEDRAL,,Lexington,KY
30906,CHRIST THE KING SCHOOL,,Lexington,KY
67304,CHRYSALIS COMMUNITY CENTER,,Lexington,KY
46762,CHRYSALIS HOUSE,,Lexington,KY
73484,CHRYSALIS HOUSE FAMILY PROGRAM,,Lexington,KY
45621,CHRYSALIS HOUSE/FAMILY PROGRAM,,Lexington,KY
32256,CHUCK E CHEESE,,Lexington,KY
30907,CHURCH OF GOD CAMP,,Lexington,KY
38576,CHURCH OF GOD CONCESSION,,Lexington,KY
56360,CHURCH OF THE GOOD SHEPHERD,,Lexington,KY
49981,CHUY'S LEXINGTON,,Lexington,KY
31024,CICI'S PIZZA,,Lexington,KY
39214,CINCO DE MAYO,,Lexington,KY
74489,"CINEMARK USA, INC. (FAYETTE MALL)",,Lexington,KY
62183,CIRCLE K #3211,,Lexington,KY
52206,CIRCLE K #3212,,Lexington,KY
30941,CIRCLE K #3214,,Lexington,KY
30944,CIRCLE K #3302,,Lexington,KY
31984,CITGO FOOD MART,,Lexington,KY
90866,CITY BBQ,,Lexington,KY
32252,CITY BUFFET,,Lexington,KY
31107,CLAMATO'S,,Lexington,KY
31312,CLARION HOTEL,,Lexington,KY
49627,CLARKS PUMP & SHOP #36/CHEVRON,,Lexington,KY
78924,CLASSIC CAKES,,Lexington,KY
93252,CLAWDADDY'S,,Lexington,KY
30909,CLAYS MILL ELEMENTARY SCHOOL,,Lexington,KY
92402,COBA,,Lexington,KY
82113,COCINA EL SABOR JAROCHO,,Lexington,KY
66548,COCKTAILS BAR & GRILL,,Lexington,KY
76795,COFFEA,,Lexington,KY
85947,COFFEE HOUSE DBA MINTON'S CAFE,,Lexington,KY
75004,COFFEE PUB,,Lexington,KY
32996,"COFFEE TIMES, INC",,Lexington,KY
73758,COLD STONE CREAMERY #1869,,Lexington,KY
54656,COLES 735 MAIN,,Lexington,KY
30915,COLUMBIA STEAK HOUSE,,Lexington,KY
30956,COLUMBIA STEAKHOUSE GRILLE,,Lexington,KY
32044,COMEDY OFF BROADWAY,,Lexington,KY
71625,COMFORT INN,,Lexington,KY
71992,COMFORT SUITES,,Lexington,KY
92520,COMMISSARY RICK'S HOT DOGS -,,Lexington,KY
31370,COMMON GROUNDS,,Lexington,KY
47138,COMMON GROUNDS COFFEE HOUSE & CAFE',,Lexington,KY
32450,COMMONS MARKET,,Lexington,KY
69336,COMMONWEALTH BAPTIST COLLEGE,,Lexington,KY
30925,COMMUNITY ACTION COUNCIL,,Lexington,KY
30842,CONCESSION # 105,,Lexington,KY
34427,CONCESSION # 109,,Lexington,KY
34409,CONCESSION # 115,,Lexington,KY
34408,CONCESSION # 119,,Lexington,KY
30843,CONCESSION # 125,,Lexington,KY
30845,CONCESSION # 128,,Lexington,KY
30844,CONCESSION # 129,,Lexington,KY
34387,CONCESSION # 155,,Lexington,KY
30853,CONCESSION # 156,,Lexington,KY
30859,CONCESSION # 159,,Lexington,KY
30848,CONCESSION # 165,,Lexington,KY
30849,CONCESSION # 169,,Lexington,KY
30852,CONCESSION # 175,,Lexington,KY
30850,CONCESSION # 179,,Lexington,KY
30864,CONCESSION # 205,,Lexington,KY
30857,CONCESSION # 209,,Lexington,KY
30854,CONCESSION # 215,,Lexington,KY
34400,CONCESSION # 219,,Lexington,KY
34395,CONCESSION # 225,,Lexington,KY
30856,CONCESSION # 229,,Lexington,KY
30858,CONCESSION # 255,,Lexington,KY
30847,CONCESSION # 259,,Lexington,KY
30860,CONCESSION # 265,,Lexington,KY
30861,CONCESSION # 269,,Lexington,KY
30862,CONCESSION # 275,,Lexington,KY
30863,CONCESSION # 279,,Lexington,KY
62888,CONCESSION #138 - PAPA JOHNS,,Lexington,KY
30851,CONCESSION #178,,Lexington,KY
62919,CONCESSION 136,,Lexington,KY
62914,CONCESSION 137,,Lexington,KY
62921,CONCESSION 140,,Lexington,KY
62920,CONCESSION 143,,Lexington,KY
62917,CONCESSION 187,,Lexington,KY
62915,CONCESSION 193,,Lexington,KY
77268,CONCESSON #106,,Lexington,KY
95896,CONFUSED CONFECTIONS,,Lexington,KY
45419,CONSOLIDATED BAPTIST CHURCH,,Lexington,KY
32300,COOKOUT,,Lexington,KY
94406,CORRISOFT,,Lexington,KY
66680,COSI,,Lexington,KY
91928,COSI,,Lexington,KY
73631,COSI RESTAURANT,,Lexington,KY
59608,COSMIC CHARLIE'S,,Lexington,KY
94033,COSTCO WHOLESALE,,Lexington,KY
89763,"COUNTRY BOY BREWING, LLC",,Lexington,KY
69638,COUNTRY COOKIN' BY GEORGE,,Lexington,KY
74907,COUNTRY INN & SUITES,,Lexington,KY
92754,COUNTY CLUB,,Lexington,KY
30960,COURTYARD BY MARRIOTT,,Lexington,KY
61875,COURTYARD BY MARRIOTT,,Lexington,KY
88313,"COURTYARD CAFE, THE",,Lexington,KY
84101,COVERED ARENA DINER,,Lexington,KY
30961,COWBOY'S,,Lexington,KY
30963,CRACKER BARREL OLD COUNTRY STORE #19,,Lexington,KY
38432,CRACKER BARREL OLD COUNTRY STORE #77,,Lexington,KY
30965,CRAWFORD MIDDLE SCHOOL,,Lexington,KY
95185,CRAZY DOGS DELI,,Lexington,KY
86782,"CREATION KINGDOM HAMBURG, LLC",,Lexington,KY
83911,CREATION KINGDOM MILLPOND,,Lexington,KY
79860,CREATIVE BEGINNINGS,,Lexington,KY
78681,"CREATIVE KIDS CHILD CARE, INC.",,Lexington,KY
30966,CRESTWOOD CHRISTIAN CHILD CC,,Lexington,KY
42866,CRITCHFIELD MEATS,,Lexington,KY
37333,CROSSINGS/BANG,,Lexington,KY
88366,"CRUST, SMASHING TOMATO 3, LLC, DBA",,Lexington,KY
75514,CULVER'S RESTAURANT,,Lexington,KY
75632,CULVER'S RESTAURANT,,Lexington,KY
54282,CURRY HOUSE,,Lexington,KY
86161,CYNTHIA'S RESTAURANT,,Lexington,KY
86955,DAD'S FAVORITES,,Lexington,KY
95452,DAD'S FAVORITES,,Lexington,KY
30978,DAIRY QUEEN,,Lexington,KY
31021,DAIRY QUEEN,,Lexington,KY
63584,DAIRY QUEEN,,Lexington,KY
63275,DAIRY QUEEN #309,,Lexington,KY
75722,DARAE & FRIENDS,,Lexington,KY
47139,DARIO'S,,Lexington,KY
67307,DAY LIGHT DONUTS,,Lexington,KY
30990,DEEP SPRINGS SCHOOL,,Lexington,KY
87125,DEJA VU,,Lexington,KY
30995,"DELI MART, INC., THE",,Lexington,KY
31491,DENNY'S #8766,,Lexington,KY
31494,DENNY'S #8770,,Lexington,KY
62056,DEPOT DELICATESSEN,,Lexington,KY
31615,DETROIT CONEY ISLAND,,Lexington,KY
