Est Number,Premise Name,Premise Address 1,Status,Inspection Type,Score,Inspection Date,Violation List,Followup Required,Opening Date
95307.0,"A & W BURGERS, CHICKEN & FLOATS",2251 WAR ADMIRAL WAY STE 110,ACTIVE,1.0,98.0,2015-06-30,   4,NO,2014-05-13
95307.0,"A & W BURGERS, CHICKEN & FLOATS",2251 WAR ADMIRAL WAY STE 110,ACTIVE,1.0,100.0,2015-12-10,,NO,2014-05-13
65080.0,A CUP OF COMMON WEALTH,105 EASTERN AVE,ACTIVE,1.0,96.0,2014-12-10,  23  26  31,NO,2013-07-01
65080.0,A CUP OF COMMON WEALTH,105 EASTERN AVE,ACTIVE,1.0,96.0,2015-05-27,   5  30  31,NO,2013-07-01
65080.0,A CUP OF COMMON WEALTH,105 EASTERN AVE,ACTIVE,1.0,96.0,2015-12-01,   5  30  31,NO,2013-07-01
30740.0,A P  SUGGINS,345 ROMANY RD,ACTIVE,1.0,97.0,2014-12-04,  15  23  32,NO,1996-03-22
30740.0,A P  SUGGINS,345 ROMANY RD,ACTIVE,1.0,97.0,2015-06-28,   2  18  32,NO,1996-03-22
30740.0,A P  SUGGINS,345 ROMANY RD,ACTIVE,1.0,96.0,2015-11-25,   8  15  31,NO,1996-03-22
43192.0,"A&W BURGERS, CHICKEN, FLOATS",3401 NICHOLASVILLE RD STE FL-07,ACTIVE,1.0,100.0,2015-03-19,,NO,2013-10-07
43192.0,"A&W BURGERS, CHICKEN, FLOATS",3401 NICHOLASVILLE RD STE FL-07,ACTIVE,1.0,100.0,2015-09-02,,NO,2013-10-07
96528.0,A&W BURGERS-CHICKEN-FLOATS,114 TOWNE CENTER DR,ACTIVE,1.0,99.0,2015-06-17,  20,NO,2014-11-25
96528.0,A&W BURGERS-CHICKEN-FLOATS,114 TOWNE CENTER DR,ACTIVE,1.0,99.0,2015-12-10,  20,NO,2014-11-25
31710.0,A&W RESTAURANT,652 E MAIN STREET,ACTIVE,1.0,100.0,2015-07-23,,NO,2015-07-22
31710.0,A&W RESTAURANT,652 E MAIN STREET,ACTIVE,1.0,100.0,2016-01-04,,NO,2015-07-22
75081.0,"ABC 123 LEARNING CENTER, LLC",285 E. SIXTH STREET,ACTIVE,1.0,100.0,2015-04-06,,NO,2006-05-05
75081.0,"ABC 123 LEARNING CENTER, LLC",285 E. SIXTH STREET,ACTIVE,1.0,100.0,2015-09-28,,NO,2006-05-05
74487.0,ABUELO'S MEXICAN FOOD EMBASSY,3395 NICHOLASVILLE ROAD,ACTIVE,1.0,99.0,2014-12-10,  15,NO,2005-08-17
74487.0,ABUELO'S MEXICAN FOOD EMBASSY,3395 NICHOLASVILLE ROAD,ACTIVE,1.0,98.0,2015-06-10,  20  30,NO,2005-08-17
74487.0,ABUELO'S MEXICAN FOOD EMBASSY,3395 NICHOLASVILLE ROAD,ACTIVE,1.0,99.0,2015-12-04,  15,NO,2005-08-17
96533.0,ACTIVE DAY OF LEXINGTON,191 W LOWRY LANE,ACTIVE,1.0,100.0,2015-05-15,,NO,2014-11-12
96533.0,ACTIVE DAY OF LEXINGTON,191 W LOWRY LANE,ACTIVE,1.0,100.0,2015-10-19,,NO,2014-11-12
41689.0,"ADVENTURE CENTER, LLS",1440 FORBES ROAD,ACTIVE,1.0,96.0,2015-02-13,   1,NO,1992-10-22
41689.0,"ADVENTURE CENTER, LLS",1440 FORBES ROAD,ACTIVE,2.0,100.0,2015-02-13,,NO,1992-10-22
41689.0,"ADVENTURE CENTER, LLS",1440 FORBES ROAD,ACTIVE,1.0,97.0,2015-08-04,   8  15,NO,1992-10-22
70022.0,AFC SUSHI @ KROGER # 407,3101 RICHMOND ROAD,ACTIVE,1.0,100.0,2015-06-30,,NO,2003-07-10
70022.0,AFC SUSHI @ KROGER # 407,3101 RICHMOND ROAD,ACTIVE,1.0,100.0,2015-12-29,,NO,2003-07-10
69489.0,AFC SUSHI @ KROGER #347,4101 TATES CREEK RD,ACTIVE,1.0,100.0,2015-03-04,,NO,2003-07-10
69489.0,AFC SUSHI @ KROGER #347,4101 TATES CREEK RD,ACTIVE,1.0,100.0,2015-09-15,,NO,2003-07-10
69489.0,AFC SUSHI @ KROGER #347,4101 TATES CREEK RD,ACTIVE,1.0,100.0,2015-09-15,,NO,2003-07-10
84685.0,AFC SUSHI @ KROGER #352,2335 NICHOLASVILLE RD,ACTIVE,1.0,100.0,2015-03-16,,NO,2009-01-23
84685.0,AFC SUSHI @ KROGER #352,2335 NICHOLASVILLE RD,ACTIVE,1.0,100.0,2015-09-11,,NO,2009-01-23
88221.0,AFC SUSHI @ KROGER #737,1060 CHINOE RD.,ACTIVE,1.0,100.0,2015-04-10,,NO,2011-05-02
88221.0,AFC SUSHI @ KROGER #737,1060 CHINOE RD.,ACTIVE,1.0,100.0,2015-10-06,,NO,2011-05-02
83286.0,AFC SUSHI @ KROGER #767,3175 BEAUMONT CNTR CIRCLE,ACTIVE,1.0,100.0,2014-12-30,,NO,2009-04-09
